 (m)      (n)       Wavelength(W)
 39       26       1109478.25000
 39       27       1276530.37500
 39       28       1475289.87500
 39       29       1715204.37500
 39       30       2009924.37500
 39       31       2379929.75000
 39       32       2857408.75000
 39       33       3496012.00000
 39       34       4392318.00000
 39       35       5739488.50000
 39       36       7988243.00000
 39       37      12490754.00000
 39       38      26007898.00000
 40        1           912.37024
 40        2          3656.34082
 40        3          8252.62109
 40        4         14736.16113
 40        5         23156.82422
 40        6         33580.35938
 40        7         46089.69531
 40        8         60786.66406
 40        9         77794.12500
 40       10         97258.66406
 40       11        119353.93750
 40       12        144284.82812
 40       13        172292.60938
 40       14        203661.31250
 40       15        238725.81250
 40       16        277881.90625
 40       17        321599.03125
 40       18        370436.62500
 40       19        425065.12500
 40       20        486293.31250
 40       21        555104.43750
 40       22        632704.25000
 40       23        720585.93750
 40       24        820620.00000
 40       25        935179.50000
 40       26       1067319.12500
 40       27       1221037.37500
 40       28       1401669.00000
 40       29       1616492.87500
 40       30       1875702.87500
 40       31       2194027.75000
 40       32       2593564.50000
 40       33       3109041.75000
 40       34       3798345.25000
 40       35       4765674.50000
 40       36       6219435.50000
 40       37       8645916.00000
 40       38      13503992.00000
 40       39      28088056.00000
 41        1           912.34271
 41        2          3655.89941
 41        3          8250.37207
 41        4         14728.99219
 41        5         23139.12695
 41        6         33543.15234
 41        7         46019.64062
 41        8         60664.86719
 41        9         77594.75000
 41       10         96947.23438
 41       11        118885.27344
 41       12        143600.48438
 41       13        171317.68750
 41       14        202300.48438
 41       15        236858.20312
 41       16        275354.62500
 41       17        318218.84375
 41       18        365959.03125
 41       19        419180.00000
 41       20        478606.03125
 41       21        545110.06250
 41       22        619752.81250
 41       23        703834.37500
 41       24        798964.56250
 41       25        907158.93750
 41       26       1030974.50000
 41       27       1173702.12500
 41       28       1339648.62500
 41       29       1534560.50000
 41       30       1766276.87500
 41       31       2045776.50000
 41       32       2388921.50000
 41       33       2819509.00000
 41       34       3374938.25000
 41       35       4117546.75000
 41       36       5159547.00000
 41       37       6725369.50000
 41       38       9338694.00000
 41       39      14570570.00000
 41       40      30276262.00000
 42        1           912.31720
 42        2          3655.48901
 42        3          8248.28320
 42        4         14722.33594
